text,label
"The Tekla Structures product box , if needed , is now made from recycled material .",neutral
`` Our design team has long admired Marimekko 's vivid patterns and colors .,positive
"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",positive
"Moreover , Konecranes and Kito intend to transfer the hoist distribution business of Konecranes ' Japanese joint venture MHS Konecranes to Kito .",neutral
Operating profit fell from EUR 7.9 mn in the second quarter of 2005 to EUR 5.1 mn in the second quarter of 2006 .,negative
"For example , net sales increased by 5.9 % from the first quarter , and EBITDA increased from a negative EUR 0.2 mn in the first quarter of 2009 .",positive
The plant is expected to start production in the first half of 2007 .,neutral
"The Annual Report contains the financial statements , the consolidated financial statements , the report by the Board of Directors and the auditor 's report .",neutral
"Apart from Nordea , also Ergo is competing for the position among the top three pension funds providers in Estonia .",neutral
It is hand-painted resin with real 14-0 trebles and is 75cm long by 25cm deep from top to bottom of the middle hook .,neutral
ABB Deutsche Bank upgraded its recommendation on Swiss-Swedish engineering group ABB Ltd. to ` Buy ' from ` Hold ' .,positive
"Operating profit excluding non-recurring items decreased to EUR 6.2 mn from EUR 16.8 mn in 2007 , representing 2.3 % of net sales .",negative
Operating profit rose to EUR 3.2 mn from EUR 1.0 mn in the corresponding period in 2008 .,positive
Her last position in Nokia Siemens Networks was head of Business Human Resources NSN global IT .,neutral
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive
Sales of mid-strength beer decreased by 40 % .,negative
F-Secure Online Backup automatically protects all the content stored on a computer or smartphone by making a copy of the content to an online location .,neutral
"Under the agreement , Larox will transfer 10 employees within engineering and documentation related to delivery projects and product maintenance in Finland to Etteplan as of January 1 , 2007 .",neutral
The total value of the contract is some EUR 8 million .,neutral
"It started with software that was capable of retrieving the data typed into the computer keyboard ( `` keyloggers '' ) , and then more complex mechanisms arrived on the scene , such as phishing and pharming .",neutral
"With the new arrangement , customer responsibilities will become mainly regional .",neutral
"Upon completion of these transactions , Metso 's stake will amount to more than 60 % .",neutral
No changes in media activity were seen in October compared with September .,neutral
"The transaction doubles Tecnomens workforse , and adds a fourth to their net sales .",positive
According to Deputy MD Pekka Silvennoinen the aim is double turnover over the next three years .,positive
"Finnish Suominen Corporation that makes wipes , nonwovens , and flexible packaging , expects changes in the market situation to reduce sales of Suominen 's nonwovens and wet wipes from the previously estimated volumes .",negative
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",positive
The value of the orders is over EUR 10mn .,neutral
The group reiterated its forecast that handset manufacturers will sell around 915 mln units this year globally .,neutral
The costs of the new ropax vessels are 30 % lower than those of the present ones .,positive
"The gross area of the Innova 2 project will be about 10,000 sq m ( 107,600 sq ft ) .",neutral
As a part of the agreement 10 employees from the John Deere Forestry documentation functions will transfer to DokuMentori Oy .,neutral
"`` Last year , Finnair recorded a 32.6-percent growth on the Asian sector , carrying more than 1.10 million passengers between the two continents . ''",positive
"The mall will be financed on a parity basis by Pearl Plaza LLC , the joint venture company established by the Chinese investor Shanghai Industrial Investment Holdings Co Ltd , and SRV Group .",neutral
